s,xo[i],xn[i],x[i],yo[i],yn[i],y[i]
0,0,-0.997497,0,0,-0.149625,0
0.2,1.34164,1.46881,2.25094,0.201246,0.0931408,0.337641
0.4,1.89737,1.28398,1.14056,0.455664,0.271766,0.458079
0.6,2.32379,2.94127,2.04437,0.735883,0.672192,0.696024
0.8,2.68328,2.8533,3.67264,1.02799,0.999358,1.14252
1,3,2.95975,2.45598,1.32379,1.29342,1.33954
1.2,3.28634,2.98692,2.74976,1.61818,1.54744,1.55107
1.4,3.54965,4.34157,4.54026,1.9079,1.96656,1.99945
1.6,3.79473,4.44041,3.50683,2.19092,2.33764,2.22555
1.8,4.02492,4.51813,3.27394,2.46602,2.66471,2.38281
2,4.24264,3.59086,5.15559,2.73251,2.80363,2.79873
